11:09:41 [Skill] INFO  Skill:137 - Connecting to Furhat server on 192.168.0.100:1932
11:09:42 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:42 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:42 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:42 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:42 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:42 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:42 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:42 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:42 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:43 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:43 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:43 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:43 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:43 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:43 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:43 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:43 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:43 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:43 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:44 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:44 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:44 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:44 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:44 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:44 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:44 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:44 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:44 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:44 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:45 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:45 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:45 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:45 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:45 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:45 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:45 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:45 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:45 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:46 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:46 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:46 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:46 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:46 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:46 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:46 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:46 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:46 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:46 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:47 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:47 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:47 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:47 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:47 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:47 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:47 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:47 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:47 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:48 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:48 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:48 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:48 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:48 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:48 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:48 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:48 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:48 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:48 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:49 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:49 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:49 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:49 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:49 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:49 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:49 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:49 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:49 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:49 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:50 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:50 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:50 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:50 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:50 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:50 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:50 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:50 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:50 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:51 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:51 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:51 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:51 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:51 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:51 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:51 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:51 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:51 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:51 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:52 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:52 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:52 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:52 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:52 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:52 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:52 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:52 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:52 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:53 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:53 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:53 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:53 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:53 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:53 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:53 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:53 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:53 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:53 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:54 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:54 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:54 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:54 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:54 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:54 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:54 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:54 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:54 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:54 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:55 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:55 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:55 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:55 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:55 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:55 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:55 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:55 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:55 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:56 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:56 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:56 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:56 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:56 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:56 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:56 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:56 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:56 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:56 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
11:09:57 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
